Strain,L-ara_concentration,AUC_FLAG,AUC_total_protein,potein_level
EV,0.2,221760,636690,0.348301371
EV,0.2,2593899,566832,4.576133669
EV,0.2,1431753,1144150,1.251368265
EptA,0,11579264,623067,18.58429992
EptA,0,12345532,583100,21.17223804
EptA,0,24148416,1453154,16.61793313
EptA,0.05,13253120,270780,48.94423517
EptA,0.05,15432699,205947,74.93529403
EptA,0.05,38105730,695100,54.82050065
EptA,0.2,15645952,223554,69.98734981
EptA,0.2,12293390,225890,54.42201957
EptA,0.2,32937163,525800,62.64199886
MCR-1,0,13897792,626031,22.19984633
MCR-1,0,9238762,354074,26.09274332
MCR-1,0,34375819,1281900,26.81630314
MCR-1,0.05,32560448,265392,122.6881293
MCR-1,0.05,22231168,204281,108.8264107
MCR-1,0.05,56448279,479950,117.6128326
MCR-1,0.2,39052800,266988,146.2717426
MCR-1,0.2,25620746,210455,121.7397829
MCR-1,0.2,44571392,494500,90.13426087
MCR-3,0,7613440,532836,14.28852405
MCR-3,0,6653586,433944,15.33282175
MCR-3,0,6786416,1374500,4.93737068
MCR-3,0.05,30847168,213636,144.3912449
MCR-3,0.05,14531320,202125,71.89273964
MCR-3,0.05,22983214,321950,71.38752601
MCR-3,0.2,33184064,205428,161.5362268
MCR-3,0.2,13841874,193550,71.51575304
MCR-3,0.2,28296738,334400,84.61943182
MCR-9,0,5265792,829635,6.347118914
MCR-9,0,7486698,389942,19.19951685
MCR-9,0,7328790,1202400,6.095134731
MCR-9,0.05,10150464,173508,58.5014178
MCR-9,0.05,9809250,268324,36.55748274
MCR-9,0.05,4860304,433350,11.21565478
MCR-9,0.2,12424128,191634,64.83258712
MCR-9,0.2,7616792,234857,32.43161583
MCR-9,0.2,2988350,495400,6.032196205
,,,,