Strain,CFU_counts_0,CFU_counts_1,CFU_counts_2,CFU_counts_4,CFU_counts_8,
EV,55000000,35000000,32000000,3000000,240000,
EV,63000000,51000000,35000000,24000000,10000,
EV,80000000,46000000,40000000,18000000,320000,
EptA,240000,13000000,9000000,5000000,280000,
EptA,10000,20000000,13000000,5000000,80000,
EptA,320000,8000000,8000000,2500000,20000,
MCR-1,68000000,42000000,54000000,48000000,38000000,
MCR-1,71000000,43000000,42000000,46000000,46000000,
MCR-1,64000000,46000000,62000000,64000000,46000000,
MCR-3,66000000,35000000,29000000,20000000,0,
MCR-3,68000000,45000000,35000000,22000000,0,
MCR-3,64000000,46000000,25000000,12000000,100000,
MCR-9,800000,290000,400000,1100000,0,
MCR-9,1400000,700000,290000,1400000,0,
MCR-9,1800000,1300000,230000,2400000,0,
PET-B,29000000,38000000,13000000,15000,0,
PET-B,28000000,33000000,26000000,49000,100,
PET-B,29000000,32000000,23000000,160000,0,
PET-B,48000000,35000000,50000000,9000000,0,
PET-B,14000000,13000000,23000000,13000000,10000,
PET-C,13000000,27000000,3000000,300,0,
PET-C,28000000,30000000,2400000,8000,0,
PET-C,10000000,25000000,4100000,42000,0,
PET-C,29000000,38000000,17000000,2200000,10000,
PET-C,16000000,31000000,12000000,500000,200000,
PET-C,23000000,41000000,34000000,3900000,100,